dataset,attack_fraction_pct,alternatives,criteria,decision_makers,target_alt,clean_a1_rank,method,spearman,spearman_mean,spearman_std,kendall,kendall_mean,kendall_std,top1_acc,top1_mean,top1_std,a1_rank,a1_rank_mean,a1_rank_std,a1_rank_error,a1_rank_error_mean,a1_rank_error_std,target_blocked
DS3_20DM_25pct,25,8,6,20,A1,1,M5,0.905±0.000,0.905,0.0,0.786±0.000,0.786,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,0.000±0.000,0.0,0.0,True
DS3_20DM_25pct,25,8,6,20,A1,1,M6,0.917±0.012,0.917,0.012,0.821±0.036,0.821,0.036,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,0.000±0.000,0.0,0.0,True
DS3_20DM_25pct,25,8,6,20,A1,1,M7,0.929±0.000,0.929,0.0,0.857±0.000,0.857,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,0.000±0.000,0.0,0.0,True
DS4_15DM_40pct,40,6,5,15,A1,4,M1,0.657±0.000,0.657,0.0,0.600±0.000,0.6,0.0,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,3.000±0.000,3.0,0.0,False
DS4_15DM_40pct,40,6,5,15,A1,4,M2,0.657±0.000,0.657,0.0,0.600±0.000,0.6,0.0,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,3.000±0.000,3.0,0.0,False
DS4_15DM_40pct,40,6,5,15,A1,4,M3,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4.000±0.000,4.0,0.0,0.000±0.000,0.0,0.0,True
DS4_15DM_40pct,40,6,5,15,A1,4,M4,0.943±0.000,0.943,0.0,0.867±0.000,0.867,0.0,1.000±0.000,1.0,0.0,3.000±0.000,3.0,0.0,1.000±0.000,1.0,0.0,False
DS4_15DM_40pct,40,6,5,15,A1,4,M5,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4.000±0.000,4.0,0.0,0.000±0.000,0.0,0.0,True
DS4_15DM_40pct,40,6,5,15,A1,4,M6,0.971±0.029,0.971,0.029,0.933±0.067,0.933,0.067,1.000±0.000,1.0,0.0,3.500±0.500,3.5,0.5,0.500±0.500,0.5,0.5,False
DS4_15DM_40pct,40,6,5,15,A1,4,M7,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,4.000±0.000,4.0,0.0,0.000±0.000,0.0,0.0,True
DS5_6DM_33pct,33,4,3,6,A1,1,M1,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,0.000±0.000,0.0,0.0,True
DS5_6DM_33pct,33,4,3,6,A1,1,M2,0.800±0.000,0.8,0.0,0.667±0.000,0.667,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,0.000±0.000,0.0,0.0,True
DS5_6DM_33pct,33,4,3,6,A1,1,M3,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,0.000±0.000,0.0,0.0,True
DS5_6DM_33pct,33,4,3,6,A1,1,M4,0.400±0.000,0.4,0.0,0.333±0.000,0.333,0.0,0.000±0.000,0.0,0.0,2.000±0.000,2.0,0.0,1.000±0.000,1.0,0.0,False
DS5_6DM_33pct,33,4,3,6,A1,1,M5,0.400±0.000,0.4,0.0,0.333±0.000,0.333,0.0,0.000±0.000,0.0,0.0,2.000±0.000,2.0,0.0,1.000±0.000,1.0,0.0,False
DS5_6DM_33pct,33,4,3,6,A1,1,M6,0.400±0.000,0.4,0.0,0.333±0.000,0.333,0.0,0.000±0.000,0.0,0.0,2.000±0.000,2.0,0.0,1.000±0.000,1.0,0.0,False
DS5_6DM_33pct,33,4,3,6,A1,1,M7,0.400±0.000,0.4,0.0,0.333±0.000,0.333,0.0,0.000±0.000,0.0,0.0,2.000±0.000,2.0,0.0,1.000±0.000,1.0,0.0,False
DS6_30DM_20pct,20,10,6,30,A1,2,M1,0.952±0.000,0.952,0.0,0.822±0.000,0.822,0.0,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,False
DS6_30DM_20pct,20,10,6,30,A1,2,M2,0.958±0.006,0.958,0.006,0.844±0.022,0.844,0.022,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,False
DS6_30DM_20pct,20,10,6,30,A1,2,M3,0.976±0.000,0.976,0.0,0.911±0.000,0.911,0.0,1.000±0.000,1.0,0.0,2.000±0.000,2.0,0.0,0.000±0.000,0.0,0.0,True
DS6_30DM_20pct,20,10,6,30,A1,2,M4,0.982±0.006,0.982,0.006,0.933±0.022,0.933,0.022,1.000±0.000,1.0,0.0,2.000±0.000,2.0,0.0,0.000±0.000,0.0,0.0,True
DS6_30DM_20pct,20,10,6,30,A1,2,M5,0.970±0.006,0.97,0.006,0.889±0.022,0.889,0.022,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,False
DS6_30DM_20pct,20,10,6,30,A1,2,M6,0.982±0.006,0.982,0.006,0.933±0.022,0.933,0.022,1.000±0.000,1.0,0.0,2.000±0.000,2.0,0.0,0.000±0.000,0.0,0.0,True
DS6_30DM_20pct,20,10,6,30,A1,2,M7,0.988±0.000,0.988,0.0,0.956±0.000,0.956,0.0,1.000±0.000,1.0,0.0,2.000±0.000,2.0,0.0,0.000±0.000,0.0,0.0,True
DS7_50DM_30pct,30,10,8,50,A1,8,M1,0.624±0.000,0.624,0.0,0.600±0.000,0.6,0.0,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,7.000±0.000,7.0,0.0,False
DS7_50DM_30pct,30,10,8,50,A1,8,M2,0.636±0.000,0.636,0.0,0.600±0.000,0.6,0.0,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,7.000±0.000,7.0,0.0,False
DS7_50DM_30pct,30,10,8,50,A1,8,M3,0.988±0.000,0.988,0.0,0.956±0.000,0.956,0.0,1.000±0.000,1.0,0.0,8.000±0.000,8.0,0.0,0.000±0.000,0.0,0.0,True
DS7_50DM_30pct,30,10,8,50,A1,8,M4,0.958±0.018,0.958,0.018,0.889±0.022,0.889,0.022,1.000±0.000,1.0,0.0,8.000±0.000,8.0,0.0,0.000±0.000,0.0,0.0,True
DS7_50DM_30pct,30,10,8,50,A1,8,M5,0.636±0.000,0.636,0.0,0.600±0.000,0.6,0.0,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,7.000±0.000,7.0,0.0,False
DS7_50DM_30pct,30,10,8,50,A1,8,M6,0.976±0.000,0.976,0.0,0.911±0.000,0.911,0.0,1.000±0.000,1.0,0.0,8.000±0.000,8.0,0.0,0.000±0.000,0.0,0.0,True
DS7_50DM_30pct,30,10,8,50,A1,8,M7,0.976±0.000,0.976,0.0,0.911±0.000,0.911,0.0,1.000±0.000,1.0,0.0,8.000±0.000,8.0,0.0,0.000±0.000,0.0,0.0,True
DS8_100DM_20pct,20,10,8,100,A1,6,M1,0.818±0.000,0.818,0.0,0.778±0.000,0.778,0.0,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,5.000±0.000,5.0,0.0,False
DS8_100DM_20pct,20,10,8,100,A1,6,M2,0.806±0.000,0.806,0.0,0.733±0.000,0.733,0.0,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,5.000±0.000,5.0,0.0,False
DS8_100DM_20pct,20,10,8,100,A1,6,M3,0.988±0.000,0.988,0.0,0.956±0.000,0.956,0.0,1.000±0.000,1.0,0.0,5.000±0.000,5.0,0.0,1.000±0.000,1.0,0.0,False
DS8_100DM_20pct,20,10,8,100,A1,6,M4,0.988±0.000,0.988,0.0,0.956±0.000,0.956,0.0,1.000±0.000,1.0,0.0,6.000±0.000,6.0,0.0,0.000±0.000,0.0,0.0,True
DS8_100DM_20pct,20,10,8,100,A1,6,M5,0.806±0.000,0.806,0.0,0.733±0.000,0.733,0.0,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,5.000±0.000,5.0,0.0,False
DS8_100DM_20pct,20,10,8,100,A1,6,M6,0.988±0.000,0.988,0.0,0.956±0.000,0.956,0.0,1.000±0.000,1.0,0.0,6.000±0.000,6.0,0.0,0.000±0.000,0.0,0.0,True
DS8_100DM_20pct,20,10,8,100,A1,6,M7,0.988±0.000,0.988,0.0,0.956±0.000,0.956,0.0,1.000±0.000,1.0,0.0,6.000±0.000,6.0,0.0,0.000±0.000,0.0,0.0,True
DS9_200DM_25pct,25,15,10,200,A1,2,M1,0.982±0.000,0.982,0.0,0.924±0.000,0.924,0.0,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,False
DS9_200DM_25pct,25,15,10,200,A1,2,M2,0.975±0.000,0.975,0.0,0.905±0.000,0.905,0.0,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,False
DS9_200DM_25pct,25,15,10,200,A1,2,M3,0.996±0.000,0.996,0.0,0.981±0.000,0.981,0.0,1.000±0.000,1.0,0.0,2.000±0.000,2.0,0.0,0.000±0.000,0.0,0.0,True
DS9_200DM_25pct,25,15,10,200,A1,2,M4,0.923±0.005,0.923,0.005,0.838±0.010,0.838,0.01,1.000±0.000,1.0,0.0,2.000±0.000,2.0,0.0,0.000±0.000,0.0,0.0,True
DS9_200DM_25pct,25,15,10,200,A1,2,M5,0.971±0.000,0.971,0.0,0.886±0.000,0.886,0.0,0.000±0.000,0.0,0.0,1.000±0.000,1.0,0.0,1.000±0.000,1.0,0.0,False
DS9_200DM_25pct,25,15,10,200,A1,2,M6,0.923±0.020,0.923,0.02,0.838±0.029,0.838,0.029,1.000±0.000,1.0,0.0,2.000±0.000,2.0,0.0,0.000±0.000,0.0,0.0,True
DS9_200DM_25pct,25,15,10,200,A1,2,M7,0.946±0.000,0.946,0.0,0.867±0.000,0.867,0.0,1.000±0.000,1.0,0.0,2.000±0.000,2.0,0.0,0.000±0.000,0.0,0.0,True
