dataset,method,spearman,kendall,top1_acc,a1_rank_mean,a1_rank_error
DS5_6DM_33pct,M3,1.000±0.000,1.000±0.000,1.000±0.000,1.000±0.000,0.000±0.000
DS5_6DM_33pct,M4,0.400±0.000,0.333±0.000,0.000±0.000,2.000±0.000,1.000±0.000
DS5_6DM_33pct,M5,0.400±0.000,0.333±0.000,0.000±0.000,2.000±0.000,1.000±0.000
DS5_6DM_33pct,M6,0.400±0.000,0.333±0.000,0.000±0.000,2.000±0.000,1.000±0.000
DS5_6DM_33pct,M7,0.400±0.000,0.333±0.000,0.000±0.000,2.000±0.000,1.000±0.000
DS6_30DM_20pct,M1,0.952±0.000,0.822±0.000,0.000±0.000,1.000±0.000,1.000±0.000
DS6_30DM_20pct,M2,0.958±0.006,0.844±0.022,0.000±0.000,1.000±0.000,1.000±0.000
DS6_30DM_20pct,M3,0.976±0.000,0.911±0.000,1.000±0.000,2.000±0.000,0.000±0.000
DS6_30DM_20pct,M4,0.982±0.006,0.933±0.022,1.000±0.000,2.000±0.000,0.000±0.000
DS6_30DM_20pct,M5,0.970±0.006,0.889±0.022,0.000±0.000,1.000±0.000,1.000±0.000
DS6_30DM_20pct,M6,0.982±0.006,0.933±0.022,1.000±0.000,2.000±0.000,0.000±0.000
DS6_30DM_20pct,M7,0.988±0.000,0.956±0.000,1.000±0.000,2.000±0.000,0.000±0.000
DS7_50DM_30pct,M1,0.624±0.000,0.600±0.000,0.000±0.000,1.000±0.000,7.000±0.000
DS7_50DM_30pct,M2,0.636±0.000,0.600±0.000,0.000±0.000,1.000±0.000,7.000±0.000
DS7_50DM_30pct,M3,0.988±0.000,0.956±0.000,1.000±0.000,8.000±0.000,0.000±0.000
DS7_50DM_30pct,M4,0.958±0.018,0.889±0.022,1.000±0.000,8.000±0.000,0.000±0.000
DS7_50DM_30pct,M5,0.636±0.000,0.600±0.000,0.000±0.000,1.000±0.000,7.000±0.000
DS7_50DM_30pct,M6,0.976±0.000,0.911±0.000,1.000±0.000,8.000±0.000,0.000±0.000
DS7_50DM_30pct,M7,0.976±0.000,0.911±0.000,1.000±0.000,8.000±0.000,0.000±0.000
DS8_100DM_20pct,M1,0.818±0.000,0.778±0.000,0.000±0.000,1.000±0.000,5.000±0.000
DS8_100DM_20pct,M2,0.806±0.000,0.733±0.000,0.000±0.000,1.000±0.000,5.000±0.000
DS8_100DM_20pct,M3,0.988±0.000,0.956±0.000,1.000±0.000,5.000±0.000,1.000±0.000
DS8_100DM_20pct,M4,0.988±0.000,0.956±0.000,1.000±0.000,6.000±0.000,0.000±0.000
DS8_100DM_20pct,M5,0.806±0.000,0.733±0.000,0.000±0.000,1.000±0.000,5.000±0.000
DS8_100DM_20pct,M6,0.988±0.000,0.956±0.000,1.000±0.000,6.000±0.000,0.000±0.000
DS8_100DM_20pct,M7,0.988±0.000,0.956±0.000,1.000±0.000,6.000±0.000,0.000±0.000
DS9_200DM_25pct,M1,0.982±0.000,0.924±0.000,0.000±0.000,1.000±0.000,1.000±0.000
DS9_200DM_25pct,M2,0.975±0.000,0.905±0.000,0.000±0.000,1.000±0.000,1.000±0.000
DS9_200DM_25pct,M3,0.996±0.000,0.981±0.000,1.000±0.000,2.000±0.000,0.000±0.000
DS9_200DM_25pct,M4,0.923±0.005,0.838±0.010,1.000±0.000,2.000±0.000,0.000±0.000
DS9_200DM_25pct,M5,0.971±0.000,0.886±0.000,0.000±0.000,1.000±0.000,1.000±0.000
DS9_200DM_25pct,M6,0.923±0.020,0.838±0.029,1.000±0.000,2.000±0.000,0.000±0.000
DS9_200DM_25pct,M7,0.946±0.000,0.867±0.000,1.000±0.000,2.000±0.000,0.000±0.000
DS10_500DM_10pct,M1,0.848±0.000,0.737±0.000,0.000±0.000,1.000±0.000,10.000±0.000
DS10_500DM_10pct,M2,0.895±0.001,0.795±0.005,1.000±0.000,2.000±0.000,9.000±0.000
DS10_500DM_10pct,M3,0.998±0.000,0.989±0.000,1.000±0.000,11.000±0.000,0.000±0.000
DS10_500DM_10pct,M4,0.953±0.002,0.868±0.005,1.000±0.000,14.500±0.500,3.500±0.500
DS10_500DM_10pct,M5,0.895±0.005,0.789±0.021,1.000±0.000,2.000±0.000,9.000±0.000
DS10_500DM_10pct,M6,0.952±0.006,0.863±0.021,1.000±0.000,13.500±0.500,2.500±0.500
DS10_500DM_10pct,M7,0.953±0.002,0.868±0.005,1.000±0.000,14.500±0.500,3.500±0.500
